#,Family,Variant,Prompt Focus,中文解释
1,base,shared_base_prompt,Shared constrained planner prompt with strict rules action checklist workflow construction rules self-check output schema examples available skills and user requirement.,所有 O2 candidate 共用的基础 planner prompt。真正的 family 差异是在这个 base 之上叠加 Planning strategy。
2,original,baseline,No extra strategy hint.,原始基线 prompt，不额外加策略提示。
3,minimal,fewest_tools,Use the fewest tools possible while still satisfying the explicit request. Collapse optional intermediate steps unless required.,优先最少工具数；如果中间步骤不是必须，就尽量收缩。
4,minimal,fewest_transformations,Minimize the number of transformations. Prefer direct producer-to-consumer paths over multi-hop reformulation.,优先最少变换次数；减少多跳改写和中间转换。
5,action_coverage,strict_explicit_action_coverage,Enumerate every explicit user-requested action internally and ensure each is covered by at least one tool.,严格覆盖用户显式要求的每个动作，避免漏步骤。
6,action_coverage,step_by_step_decomposition,Decompose the request into sequential sub-goals and map each sub-goal to the most direct executable step.,先拆子目标，再逐步映射工具，强调顺序化分解。
7,action_coverage,preserve_every_user_requested_operation,Preserve every user-requested operation even if a shorter workflow exists.,即使有更短路径，也保留每一个用户明确要求的操作。
8,parallel_dag,preserve_independent_branches,Preserve independent branches when parallel downstream use is implied.,如果请求天然有并行分支，就保留 DAG 分支结构。
9,parallel_dag,avoid_forcing_dags_into_chains,Do not linearize independent operations only because modalities match.,不要因为 modality 能接上，就把独立分支强行串成链。
10,dependency_first,semantic_dependency_continuity,Maximize semantic dependency continuity between adjacent steps.,强调语义依赖连续性，下游节点要接到真正被消费的上游输出。
11,parameter_copy,exact_parameter_copy,Copy filenames styles phrases effect names and parameter values exactly from the user request.,文件名、style、effect、参数值都尽量逐字拷贝。
